iter	Passed	Remaining
399	34891	662947
400	34968	662652
401	35046	662394
402	35130	662257
403	35212	662068
404	35285	661703
405	35366	661502
406	35443	661233
407	35520	660956
408	35595	660653
409	35666	660272
410	35734	659819
411	35807	659475
412	35880	659145
413	35960	658925
414	36037	658655
415	36108	658284
416	36196	658229
417	36270	657905
418	36344	657578
419	36425	657386
420	36509	657264
421	36581	656902
422	36646	656431
423	36731	656308
424	36808	656052
425	36888	655845
426	36966	655617
427	37042	655346
428	37122	655134
429	37196	654825
430	37267	654475
431	37327	653927
432	37397	653544
433	37469	653213
434	37534	652748
435	37605	652406
436	37675	652041
437	37741	651594
438	37821	651409
439	37904	651265
440	37969	650815
441	38061	650831
442	38129	650446
443	38206	650201
444	38298	650213
445	38375	649972
446	38454	649763
447	38537	649630
448	38617	649438
449	38687	649092
450	38758	648761
451	38830	648438
452	38905	648174
453	38983	647948
454	39068	647847
455	39139	647517
456	39224	647422
457	39302	647197
458	39379	646976
459	39461	646827
460	39535	646541
461	39616	646375
462	39695	646186
463	39764	645825
464	39850	645750
465	39925	645484
466	40004	645295
467	40077	645013
468	40160	644883
469	40247	644821
470	40326	644619
471	40411	644526
472	40493	644389
473	40573	644206
474	40648	643958
475	40727	643760
476	40805	643559
477	40891	643477
478	40970	643296
479	41049	643103
480	41122	642824
481	41191	642491
482	41264	642209
483	41336	641910
484	41397	641454
485	41481	641348
486	41557	641107
487	41636	640936
488	41713	640714
489	41791	640521
490	41877	640439
491	41946	640111
492	42024	639921
493	42101	639703
494	42172	639402
495	42251	639223
496	42329	639034
497	42412	638919
498	42489	638706
499	42558	638371
500	42640	638243
501	42719	638069
502	42809	638061
503	42893	637959
504	42969	637734
505	43032	637321
506	43114	637187
507	43192	637005
508	43275	636882
509	43364	636863
510	43443	636689
511	43511	636360
512	43588	636157
513	43667	635989
514	43729	635561
515	43817	635520
516	43881	635138
517	43973	635160
518	44019	634509
519	44090	634226
520	44165	633994
521	44242	633802
522	44326	633714
523	44403	633506
524	44490	633464
525	44573	633356
526	44641	633032
527	44717	632822
528	44790	632564
529	44861	632293
530	44941	632147
531	45017	631939
532	45097	631787
533	45178	631647
534	45256	631469
535	45326	631183
536	45409	631076
537	45482	630831
538	45555	630595
539	45621	630252
540	45711	630237
541	45785	630009
542	45872	629961
543	45954	629840
544	46034	629694
545	46104	629419
546	46181	629233
547	46249	628926
548	46326	628746
549	46401	628526
550	46471	628257
551	46553	628139
552	46627	627913
553	46706	627749
554	46781	627542
555	46857	627349
556	46936	627200
557	47013	627013
558	47080	626699
559	47162	626589
560	47231	626302
561	47303	626060
562	47380	625883
563	47446	625554
564	47524	625391
565	47602	625222
566	47688	625159
567	47775	625118
568	47843	624828
569	47918	624620
570	47995	624447
571	48077	624329
572	48165	624297
573	48249	624221
574	48329	624086
575	48408	623931
576	48493	623859
577	48571	623693
578	48639	623406
579	48721	623301
580	48795	623082
581	48878	622988
582	48958	622858
583	49030	622614
584	49101	622377
585	49177	622188
586	49242	621866
587	49312	621600
588	49388	621428
589	49476	621394
590	49542	621083
591	49629	621039
592	49714	620967
593	49787	620747
594	49870	620652
595	49944	620452
596	50026	620349
597	50107	620222
598	50193	620175
599	50274	620049
600	50344	619798
601	50420	619617
602	50494	619419
603	50580	619355
604	50660	619233
605	50728	618949
606	50792	618628
607	50872	618497
608	50947	618307
609	51011	617994
610	51085	617795
611	51164	617656
612	51234	617405
613	51321	617367
614	51403	617260
615	51465	616917
616	51544	616779
617	51618	616577
618	51713	616638
619	51794	616523
620	51868	616330
621	51945	616162
622	52013	615898
623	52085	615675
624	52158	615475
625	52234	615301
626	52307	615092
627	52390	615007
628	52460	614761
629	52529	614511
630	52618	614493
631	52687	614240
632	52764	614087
633	52846	613983
634	52925	613856
635	52993	613593
636	53066	613393
637	53132	613106
638	53209	612950
639	53281	612736
640	53345	612437
641	53419	612243
642	53488	612000
643	53569	611892
644	53639	611653
645	53707	611401
646	53773	611120
647	53854	611021
648	53932	610872
649	54006	610686
650	54091	610626
651	54167	610465
652	54237	610238
653	54321	610167
654	54400	610027
655	54466	609762
656	54549	609680
657	54629	609561
658	54706	609409
659	54774	609160
660	54852	609019
661	54925	608830
662	55008	608748
663	55081	608545
664	55154	608358
665	55230	608195
666	55303	608010
667	55383	607886
668	55458	607720
669	55536	607585
670	55623	607542
671	55705	607455
672	55778	607266
673	55849	607052
674	55937	607023
675	56023	606975
676	56097	606801
677	56174	606648
678	56247	606457
679	56317	606239
680	56411	606276
681	56481	606054
682	56553	605860
683	56633	605746
684	56703	605523
685	56776	605335
686	56851	605169
687	56923	604978
688	56996	604795
689	57061	604522
690	57125	604245
691	57198	604056
692	57290	604068
693	57351	603758
694	57428	603619
695	57509	603522
696	57594	603458
697	57671	603314
698	57750	603201
699	57827	603054
700	57908	602962
701	57984	602802
702	58056	602617
703	58116	602301
704	58191	602138
705	58260	601916
706	58335	601759
707	58425	601754
708	58512	601716
709	58590	601588
710	58674	601513
711	58750	601365
712	58830	601263
713	58896	601008
714	58976	600895
715	59053	600766
716	59132	600649
717	59202	600438
718	59273	600239
719	59358	600184
720	59434	600036
721	59503	599816
722	59581	599683
723	59659	599562
724	59745	599516
725	59818	599336
726	59892	599169
727	59966	599008
728	60040	598844
729	60110	598637
730	60195	598580
731	60271	598431
732	60332	598141
733	60403	597945
734	60491	597917
735	60558	597690
736	60636	597560
737	60716	597453
738	60782	597215
739	60842	596911
740	60908	596668
741	60977	596464
742	61059	596373
743	61137	596255
744	61226	596242
745	61317	596238
746	61394	596114
747	61475	596018
748	61555	595912
749	61627	595734
750	61720	595758
751	61800	595647
752	61865	595406
753	61949	595339
754	62020	595150
755	62102	595068
756	62187	595012
757	62257	594809
758	62338	594717
759	62414	594578
760	62500	594536
761	62560	594243
762	62641	594146
763	62713	593969
764	62783	593779
765	62854	593591
766	62920	593352
767	62992	593178
768	63072	593080
769	63141	592871
770	63212	592688
771	63288	592547
772	63366	592430
773	63449	592359
774	63515	592126
775	63592	592002
776	63662	591804
777	63729	591589
778	63796	591366
779	63880	591306
780	63959	591192
781	64041	591117
782	64119	590992
783	64204	590942
784	64286	590863
785	64365	590754
786	64450	590703
787	64527	590575
788	64599	590404
789	64696	590453
790	64783	590422
791	64851	590211
792	64918	589995
793	64997	589886
794	65078	589800
795	65153	589660
796	65222	589458
797	65301	589350
798	65373	589177
799	65454	589091
800	65529	588946
801	65609	588851
802	65681	588682
803	65754	588522
804	65828	588367
805	65901	588210
806	65975	588055
807	66055	587955
808	66119	587716
809	66197	587606
810	66272	587462
811	66337	587230
812	66418	587141
813	66487	586950
814	66574	586917
815	66642	586716
816	66725	586649
817	66799	586496
818	66879	586401
819	66946	586188
820	67021	586053
821	67100	585946
822	67176	585812
823	67257	585731
824	67327	585543
825	67409	585467
826	67483	585323
827	67573	585311
828	67654	585225
829	67740	585178
830	67826	585136
831	67892	584920
832	67977	584870
833	68056	584767
834	68121	584539
835	68208	584504
836	68289	584413
837	68367	584305
838	68433	584094
839	68509	583963
840	68585	583830
841	68667	583755
842	68746	583656
843	68823	583528
844	68901	583423
845	68981	583329
846	69067	583278
847	69147	583189
848	69228	583098
849	69307	582996
850	69393	582955
851	69472	582849
852	69551	582744
853	69629	582640
854	69706	582520
855	69798	582519
856	69866	582327
857	69959	582345
858	70037	582235
859	70111	582091
860	70179	581892
861	70258	581791
862	70335	581676
863	70421	581629
864	70500	581530
865	70581	581439
866	70657	581313
867	70733	581184
868	70819	581145
869	70898	581037
870	70986	581017
871	71073	580975
872	71168	581008
873	71252	580944
874	71323	580781
875	71399	580652
876	71480	580562
877	71551	580401
878	71620	580215
879	71688	580021
880	71767	579926
881	71849	579845
882	71921	579688
883	71996	579554
884	72075	579455
885	72157	579375
886	72237	579286
887	72307	579110
888	72383	578989
889	72465	578908
890	72539	578766
891	72629	578753
892	72717	578729
